Employee ID,Turnover Rate,Recent Raise,Number of Mgmt Roles,PTO Days
958049,28,08/22/2023,18,7,9,3,1,0,9
348729,30,02/13/2023,14,7,8,0,1,4,6
348729,26,10/10/2023,13,7,7,0,0,0,8
441062,17,11/04/2022,7,9,9,3,1,5,5
441062,2,04/08/2023,13,9,5,2,0,5,8
246025,16,12/02/2023,5,7,10,3,1,0,8
246025,6,06/09/2023,7,6,5,4,1,5,6
866152,9,11/02/2024,19,10,9,2,3,0,9
866152,1,06/06/2024,20,9,9,0,2,5,7
558064,23,10/08/2024,10,8,10,4,2,4,4
558064,0,04/02/2022,17,5,8,2,1,4,7
894681,0,09/13/2024,8,7,9,4,3,1,8
220994,18,01/02/2022,10,10,6,3,3,5,6
220994,15,03/08/2022,12,6,9,0,1,0,5
220994,20,01/18/2024,6,5,8,4,1,1,4
551151,13,09/19/2022,17,8,10,4,3,3,9
551151,29,03/07/2022,18,8,5,3,2,0,6
551151,17,02/13/2023,19,10,5,2,1,3,10
737970,15,06/23/2023,16,10,6,1,1,0,6
861665,25,10/22/2022,20,9,8,3,2,2,8
861665,8,05/13/2024,17,10,8,2,2,2,3
343891,2,12/17/2023,14,6,10,0,1,0,4
343891,12,07/22/2024,5,8,6,0,3,2,4
275861,6,10/02/2022,16,8,10,1,3,3,3
275861,4,08/13/2023,7,6,9,2,0,3,10
589650,21,07/14/2024,20,5,8,1,3,0,4
589650,16,01/08/2023,20,9,6,1,2,5,7
589650,9,01/06/2022,7,6,8,4,2,3,9
284894,7,11/14/2023,11,6,9,0,1,2,10
284894,8,03/05/2022,9,10,7,0,2,2,5
284894,23,08/23/2023,8,9,8,4,1,1,5
929240,5,10/04/2023,18,9,8,1,0,1,6
243001,30,11/06/2023,10,5,8,3,3,2,3
243001,10,09/10/2023,19,9,8,1,3,4,4
243001,18,07/06/2022,17,7,5,1,3,3,3
688513,26,04/06/2022,13,5,5,2,2,2,5
688513,23,12/24/2022,8,10,8,0,2,1,9
688513,4,04/20/2022,6,5,6,1,3,3,4
442899,23,01/20/2024,8,8,10,3,2,0,9
935656,20,09/14/2024,14,7,8,3,3,5,6
715512,5,05/17/2024,9,9,5,2,3,0,6
141384,11,01/20/2024,16,9,5,3,3,2,3
141384,0,06/03/2022,12,9,9,2,0,0,6
578082,28,04/21/2022,12,10,9,3,2,1,10
506670,6,10/08/2022,13,9,10,1,0,3,9
506670,23,06/20/2024,9,8,5,2,2,0,4
506670,14,03/14/2022,17,8,5,1,1,1,6
673770,11,06/17/2023,14,10,10,4,2,3,8
673770,4,11/19/2024,11,6,5,2,2,1,8
673770,5,07/14/2024,15,10,9,1,2,0,9
788678,3,12/20/2023,14,5,10,3,3,2,4
999527,24,12/16/2024,18,9,7,3,0,2,10
999527,26,08/03/2024,14,5,7,4,1,5,4
999527,18,10/10/2024,8,10,9,0,3,1,8
418651,25,01/15/2022,16,10,6,4,2,4,9
418651,28,04/21/2022,11,10,8,1,2,0,4
418651,22,07/24/2024,16,9,10,2,3,1,3
243344,2,02/19/2023,14,5,8,3,3,0,9
489244,26,07/20/2023,11,7,8,3,1,3,10
489244,19,12/15/2024,12,6,9,2,0,5,10
489244,26,06/10/2023,18,6,9,1,1,0,7
272500,28,11/05/2022,14,10,5,3,1,4,8
272500,11,04/02/2023,5,10,8,2,0,2,4
340876,27,05/06/2023,14,5,7,0,1,5,5
340876,24,04/02/2024,13,6,7,1,2,4,6
340876,28,12/07/2023,16,10,5,3,2,5,3
894667,6,04/03/2023,8,7,9,4,1,1,6
894667,22,06/18/2022,6,6,10,2,1,3,9
480944,8,11/22/2023,20,6,6,4,3,1,9
480944,3,05/20/2022,5,10,9,4,3,5,5
480944,3,03/12/2022,9,8,6,0,3,2,6
951318,21,08/15/2022,5,10,10,1,1,1,3
951318,4,04/16/2023,16,7,5,4,2,3,6
312548,16,06/19/2024,17,7,7,1,1,4,9
312548,16,06/04/2024,8,7,6,2,3,3,7
312548,7,03/23/2024,5,6,6,4,3,1,6
750802,21,06/19/2022,15,7,9,4,2,1,6
750802,6,11/02/2023,19,5,10,4,1,1,3
750802,4,08/10/2023,5,8,5,0,3,0,9
958191,18,09/04/2024,14,7,5,0,2,2,4
958191,7,05/05/2024,6,5,8,3,3,5,3
958191,21,01/10/2022,19,7,8,1,3,3,4
135182,22,02/06/2024,20,8,5,0,1,3,8
135182,29,07/20/2022,15,10,10,3,0,1,6
135182,1,03/09/2023,20,10,5,1,1,3,3
456267,6,11/07/2024,12,7,5,2,0,2,3
978891,12,12/02/2024,11,6,10,0,3,5,7
978891,21,03/03/2024,17,9,8,1,3,5,3
978891,24,06/21/2023,20,7,10,3,3,3,10
138628,4,12/02/2024,19,5,7,2,2,0,7
180595,13,06/23/2023,14,7,6,4,3,3,7
180595,1,06/07/2022,10,10,7,2,1,2,7
180595,17,08/04/2024,20,6,9,0,2,2,6
376943,12,06/12/2022,11,5,5,3,3,5,10
279976,13,04/22/2022,11,9,8,3,3,2,10
367620,23,06/11/2022,5,9,6,4,1,4,8
367620,17,12/12/2023,17,9,8,2,2,3,5
706002,20,02/18/2022,11,6,8,0,3,0,10
706002,13,06/18/2023,5,7,6,1,1,5,5
368083,6,07/04/2022,9,7,8,3,1,3,10
368083,12,06/03/2022,5,5,6,3,1,5,7
368083,19,07/04/2023,11,8,8,0,3,4,3
609826,11,05/10/2024,9,7,6,2,3,4,10
609826,18,04/02/2024,15,7,8,0,0,2,3
503311,27,07/01/2022,18,10,6,4,2,1,3
503311,25,08/18/2022,16,7,7,1,0,1,4
779396,14,07/01/2022,20,5,9,1,1,5,5
779396,18,09/24/2022,9,9,8,4,2,4,9
441942,2,12/02/2023,10,9,5,2,0,2,5
441942,5,09/15/2022,6,7,7,4,2,1,7
441942,28,10/05/2022,9,10,6,0,1,0,4
143499,30,06/21/2024,14,7,10,4,2,3,3
143499,24,08/14/2022,8,8,6,2,1,4,8
143499,6,08/05/2023,9,7,10,4,0,1,9
463765,20,09/04/2024,9,7,8,1,1,4,8
146691,6,05/05/2022,17,10,8,1,1,1,5
202967,24,01/11/2024,6,10,8,1,0,0,10
202967,17,07/10/2023,16,6,9,0,0,1,8
202967,13,10/08/2023,15,7,9,4,0,3,10
402036,3,01/18/2023,18,10,7,2,2,5,9
402036,12,08/13/2022,18,10,9,4,0,1,8
613983,22,05/09/2024,6,6,7,0,1,4,10
613983,11,08/03/2024,10,5,8,3,0,0,3
613983,28,03/01/2023,6,5,8,4,2,4,5
720274,24,05/09/2022,13,9,10,2,2,4,4
720274,11,07/17/2022,8,9,6,0,2,1,4
876071,8,04/12/2024,5,6,10,2,1,2,5
833142,12,02/17/2022,5,7,10,2,1,1,4
833142,6,03/17/2022,16,9,5,0,2,1,4
833142,16,03/06/2022,13,6,10,4,2,4,3
284007,27,09/22/2024,8,6,7,2,2,4,10
284007,6,02/04/2022,7,5,6,1,3,1,4
284007,18,02/16/2024,15,10,6,0,0,4,6
755011,18,07/10/2022,20,8,9,2,0,5,9
755011,2,02/21/2022,7,7,9,3,0,4,3
755011,9,11/01/2023,7,7,10,4,0,0,9
669718,13,06/04/2024,7,9,5,4,1,3,9
551346,20,09/18/2022,14,5,6,2,3,1,9
551346,24,04/07/2023,14,5,7,2,3,2,5
551346,22,08/08/2024,18,6,5,4,2,3,7
857621,3,08/05/2024,9,9,6,3,2,4,10
527420,27,12/13/2024,20,5,5,1,2,5,8
527420,15,02/24/2023,14,5,7,4,3,0,5
527420,2,07/14/2024,8,10,6,2,2,4,8
500169,10,11/19/2024,6,10,7,4,0,1,3
500169,0,01/17/2023,11,9,6,2,2,0,6
538810,19,11/19/2022,11,5,8,0,0,5,3
538810,19,09/24/2024,20,5,10,0,3,3,4
538810,4,07/11/2022,20,9,7,1,1,3,10
827187,15,09/07/2024,13,5,5,1,1,5,7
827187,23,01/03/2024,10,9,8,4,3,1,7
827187,25,12/02/2023,5,9,8,3,2,2,7
728435,30,09/02/2023,15,9,8,1,2,5,5
751731,30,04/01/2024,19,9,8,2,1,0,7
751731,29,02/13/2022,11,9,10,4,1,1,10
751731,27,07/20/2022,16,9,9,2,1,5,10
588164,23,01/06/2023,8,7,9,0,2,3,8
237813,16,12/05/2023,15,8,5,4,3,4,3
237813,9,04/14/2024,8,5,7,3,2,3,4
566301,3,08/10/2024,17,10,5,1,1,4,4
566301,20,11/08/2022,13,8,6,3,2,1,10
566301,7,08/17/2024,9,9,6,3,1,5,7
560637,29,06/02/2024,10,10,10,4,2,1,3
560637,26,01/16/2023,6,9,6,1,2,5,9
469525,18,10/12/2022,14,5,7,1,1,2,4
406479,15,05/14/2022,19,7,8,1,3,1,5
204279,0,10/17/2023,13,8,8,1,3,3,4
502004,6,03/08/2023,5,5,8,1,2,5,8
502004,0,03/12/2023,7,9,7,4,1,2,10
